Lat,Long,et0hs,zonas
-6.25,-51.25,2.82,zona-um
-6.25,-48.75,3.04,zona-dois
-6.25,-46.25,3.56,zona-tres
-8.75,-51.25,3.64,zona-quatro
-8.75,-48.75,4.07,zona-cinco
-8.75,-46.25,4.03,zona-seis
-11.25,-51.25,4.21,zona-sete
-11.25,-48.75,4.53,zona-oito
-11.25,-46.25,4.41,zona-nove
-13.75,-51.25,4.47,zona-dez
-13.75,-48.75,4.52,zona-onze
-13.75,-46.25,4.33,zona-doze
