Lat,Long,et0hs,zonas
-6.25,-51.25,1.99,zona-um
-6.25,-48.75,2.11,zona-dois
-6.25,-46.25,2.19,zona-tres
-8.75,-51.25,2.18,zona-quatro
-8.75,-48.75,2.31,zona-cinco
-8.75,-46.25,2.35,zona-seis
-11.25,-51.25,2.46,zona-sete
-11.25,-48.75,2.67,zona-oito
-11.25,-46.25,2.76,zona-nove
-13.75,-51.25,2.77,zona-dez
-13.75,-48.75,2.88,zona-onze
-13.75,-46.25,2.92,zona-doze
