Lat,Long,et0hs,zonas
-6.25,-51.25,1.99,zona-um
-6.25,-48.75,2.10,zona-dois
-6.25,-46.25,2.28,zona-tres
-8.75,-51.25,2.23,zona-quatro
-8.75,-48.75,2.26,zona-cinco
-8.75,-46.25,2.27,zona-seis
-11.25,-51.25,2.40,zona-sete
-11.25,-48.75,2.54,zona-oito
-11.25,-46.25,2.40,zona-nove
-13.75,-51.25,2.46,zona-dez
-13.75,-48.75,2.51,zona-onze
-13.75,-46.25,2.42,zona-doze
