Lat,Long,et0hs,zonas
-6.25,-51.25,1.93,ZONA 01
-6.25,-48.75,2.09,ZONA 02
-6.25,-46.25,2.19,ZONA 03
-8.75,-51.25,2.21,ZONA 04
-8.75,-48.75,2.29,ZONA 05
-8.75,-46.25,2.27,ZONA 06
-11.25,-51.25,2.47,ZONA 07
-11.25,-48.75,2.59,ZONA 08
-11.25,-46.25,2.47,ZONA 09
-13.75,-51.25,2.60,ZONA 10
-13.75,-48.75,2.59,ZONA 11
-13.75,-46.25,2.51,ZONA 12
