Lat,Long,et0hs,zonas
-6.25,-51.25,1.98,zona-um
-6.25,-48.75,2.08,zona-dois
-6.25,-46.25,2.16,zona-tres
-8.75,-51.25,2.27,zona-quatro
-8.75,-48.75,2.36,zona-cinco
-8.75,-46.25,2.24,zona-seis
-11.25,-51.25,2.51,zona-sete
-11.25,-48.75,2.67,zona-oito
-11.25,-46.25,2.57,zona-nove
-13.75,-51.25,2.62,zona-dez
-13.75,-48.75,2.65,zona-onze
-13.75,-46.25,2.57,zona-doze
