Lat,Long,et0hs,zonas
-6.25,-51.25,3.24,zona-um
-6.25,-48.75,3.39,zona-dois
-6.25,-46.25,3.51,zona-tres
-8.75,-51.25,3.86,zona-quatro
-8.75,-48.75,4.21,zona-cinco
-8.75,-46.25,4.03,zona-seis
-11.25,-51.25,4.18,zona-sete
-11.25,-48.75,4.47,zona-oito
-11.25,-46.25,4.21,zona-nove
-13.75,-51.25,4.41,zona-dez
-13.75,-48.75,4.50,zona-onze
-13.75,-46.25,4.10,zona-doze
