Lat,Long,et0hs,zonas
-6.25,-51.25,1.95,zona-um
-6.25,-48.75,2.07,zona-dois
-6.25,-46.25,2.25,zona-tres
-8.75,-51.25,2.13,zona-quatro
-8.75,-48.75,2.22,zona-cinco
-8.75,-46.25,2.21,zona-seis
-11.25,-51.25,2.26,zona-sete
-11.25,-48.75,2.47,zona-oito
-11.25,-46.25,2.36,zona-nove
-13.75,-51.25,2.35,zona-dez
-13.75,-48.75,2.46,zona-onze
-13.75,-46.25,2.42,zona-doze
