Lat,Long,et0hs,zonas
-6.25,-51.25,2.29,zona-um
-6.25,-48.75,2.39,zona-dois
-6.25,-46.25,3.02,zona-tres
-8.75,-51.25,2.85,zona-quatro
-8.75,-48.75,3.25,zona-cinco
-8.75,-46.25,3.33,zona-seis
-11.25,-51.25,3.32,zona-sete
-11.25,-48.75,3.79,zona-oito
-11.25,-46.25,3.96,zona-nove
-13.75,-51.25,3.56,zona-dez
-13.75,-48.75,3.67,zona-onze
-13.75,-46.25,3.88,zona-doze
