Lat,Long,et0hs,zonas
-6.25,-51.25,2.78,ZONA 01
-6.25,-48.75,2.95,ZONA 02
-6.25,-46.25,2.93,ZONA 03
-8.75,-51.25,3.39,ZONA 04
-8.75,-48.75,3.63,ZONA 05
-8.75,-46.25,3.53,ZONA 06
-11.25,-51.25,3.73,ZONA 07
-11.25,-48.75,3.95,ZONA 08
-11.25,-46.25,3.75,ZONA 09
-13.75,-51.25,3.81,ZONA 10
-13.75,-48.75,3.94,ZONA 11
-13.75,-46.25,3.64,ZONA 12
