Lat,Long,et0hs,zonas
-6.25,-51.25,2.29,ZONA 01
-6.25,-48.75,2.39,ZONA 02
-6.25,-46.25,3.02,ZONA 03
-8.75,-51.25,2.85,ZONA 04
-8.75,-48.75,3.25,ZONA 05
-8.75,-46.25,3.33,ZONA 06
-11.25,-51.25,3.32,ZONA 07
-11.25,-48.75,3.79,ZONA 08
-11.25,-46.25,3.96,ZONA 09
-13.75,-51.25,3.56,ZONA 10
-13.75,-48.75,3.67,ZONA 11
-13.75,-46.25,3.88,ZONA 12
