Lat,Long,et0hs,zonas
-6.25,-51.25,2.12,ZONA 01
-6.25,-48.75,2.10,ZONA 02
-6.25,-46.25,2.36,ZONA 03
-8.75,-51.25,2.43,ZONA 04
-8.75,-48.75,2.57,ZONA 05
-8.75,-46.25,2.48,ZONA 06
-11.25,-51.25,2.64,ZONA 07
-11.25,-48.75,2.92,ZONA 08
-11.25,-46.25,3.02,ZONA 09
-13.75,-51.25,2.79,ZONA 10
-13.75,-48.75,2.80,ZONA 11
-13.75,-46.25,2.90,ZONA 12
