Lat,Long,et0hs,zonas
-6.25,-51.25,3.24,ZONA 01
-6.25,-48.75,3.39,ZONA 02
-6.25,-46.25,3.51,ZONA 03
-8.75,-51.25,3.86,ZONA 04
-8.75,-48.75,4.21,ZONA 05
-8.75,-46.25,4.03,ZONA 06
-11.25,-51.25,4.18,ZONA 07
-11.25,-48.75,4.47,ZONA 08
-11.25,-46.25,4.21,ZONA 09
-13.75,-51.25,4.41,ZONA 10
-13.75,-48.75,4.50,ZONA 11
-13.75,-46.25,4.10,ZONA 12
