Lat,Long,et0hs,zonas
-6.25,-51.25,2.31,ZONA 01
-6.25,-48.75,2.47,ZONA 02
-6.25,-46.25,2.49,ZONA 03
-8.75,-51.25,2.80,ZONA 04
-8.75,-48.75,2.98,ZONA 05
-8.75,-46.25,3.01,ZONA 06
-11.25,-51.25,3.23,ZONA 07
-11.25,-48.75,3.41,ZONA 08
-11.25,-46.25,3.35,ZONA 09
-13.75,-51.25,3.36,ZONA 10
-13.75,-48.75,3.49,ZONA 11
-13.75,-46.25,3.32,ZONA 12
