Lat,Long,et0hs,zonas
-6.25,-51.25,1.99,ZONA 01
-6.25,-48.75,2.11,ZONA 02
-6.25,-46.25,2.19,ZONA 03
-8.75,-51.25,2.18,ZONA 04
-8.75,-48.75,2.31,ZONA 05
-8.75,-46.25,2.35,ZONA 06
-11.25,-51.25,2.46,ZONA 07
-11.25,-48.75,2.67,ZONA 08
-11.25,-46.25,2.76,ZONA 09
-13.75,-51.25,2.77,ZONA 10
-13.75,-48.75,2.88,ZONA 11
-13.75,-46.25,2.92,ZONA 12
